39492,0.48,-1.02,10.22,4.42,-43.12,0.25,0.06,0.01,-0.6,-8.84,5
39507,0.22,-0.44,3.63,9.54,-45.22,0.25,0.05,-0.01,-0.3,-8.53,4
39523,0.75,1.25,4.06,8.28,-46.47,-0.21,0.03,-0.01,0.75,-9.37,4
39539,0.66,0.85,9.88,4.65,-50.03,-0.2,0.04,0.01,0.55,-9.55,4
39558,0.22,-0.89,10.66,4.06,-44.59,0.25,0.05,0.01,-0.52,-9.09,5
39577,0.48,-0.12,4.72,8.39,-43.96,0.25,0.05,-0.01,-0.1,-8.87,4
39593,0.48,1.46,3.59,9.22,-49.82,-0.25,0.05,-0.01,0.87,-9.75,5
39607,0.57,1,8.7,5.54,-49.19,-0.25,0.07,0.01,0.64,-9.84,5
39623,0.92,-0.77,10.39,2.94,-46.26,-0.02,0.09,0.01,-0.44,-9.34,5
39640,-0.04,-1.5,8.42,6.17,-45.84,0.25,0.08,0,-0.91,-9.08,5
39654,0.13,-0.42,3.81,8.83,-46.89,0.25,0.05,-0.01,-0.29,-9.08,5
39671,0.57,1.32,3.38,9.6,-48.57,-0.25,0.04,-0.01,0.78,-10.21,5
39690,1.19,0.61,9.34,4.84,-50.45,-0.25,0.05,0.01,0.4,-9.71,5
39708,-0.31,-1.34,9.43,6.72,-47.1,0.25,0.06,0,-0.82,-8.92,5
39723,-0.13,-0.89,4.2,9.59,-45.01,0.25,0.04,-0.01,-0.58,-9.54,4
39743,-0.13,1.03,4.78,8.3,-48.57,0.17,0.01,-0.01,0.62,-10.38,5
39762,1.1,2.55,5.84,7.99,-52.96,-0.25,0.03,0,1.57,-11.17,4
39780,1.45,1.71,11.9,3.39,-54.22,-0.25,0.07,0.01,1.1,-10.85,5
39797,0.84,-0.14,9.68,5.39,-51.71,-0.25,0.1,0.01,-0.07,-10.22,5
39813,0.22,-1.91,9.7,4.62,-47.52,0.25,0.09,0.01,-1.15,-9.3,5
39832,0.66,-1.12,3.98,10.02,-46.89,0.25,0.06,-0.01,-0.73,-9.54,5
39851,1.01,1.01,4.04,9.01,-50.03,0.05,0.03,-0.01,0.6,-10.08,4
39870,0.92,1.86,7.09,6.53,-54.85,-0.25,0.04,0,1.15,-10.92,5
39886,0.84,0.91,9.85,4.63,-53.17,-0.25,0.06,0.01,0.59,-10.34,4
39902,1.19,-0.73,12.1,2.6,-48.15,0.13,0.08,0.01,-0.41,-9.93,4
39920,1.28,-0.67,6.7,7.96,-48.77,0.25,0.07,0,-0.42,-9.83,4
39936,1.45,0.75,3.72,9.32,-49.61,-0.07,0.05,-0.01,0.43,-10.33,4
39952,1.72,1.12,8.19,6.06,-53.59,-0.25,0.05,0,0.7,-10.63,4
39968,1.45,-0.11,9.36,4.64,-52.54,0.11,0.07,0.01,-0.05,-10.38,4
39984,1.54,-0.33,4.73,8.81,-53.8,0.25,0.07,-0.01,-0.23,-9.96,5
40000,1.28,1.18,3.92,9.06,-50.45,-0.25,0.06,-0.01,0.7,-10.21,4
40016,1.89,0.76,9.85,3.91,-53.17,-0.25,0.08,0.01,0.5,-10.89,4
40032,1.72,-0.85,9.21,4.05,-51.08,0.21,0.09,0.01,-0.5,-9.67,5
40048,1.45,-0.6,5.11,7.4,-48.77,0.25,0.08,0,-0.38,-9.71,4
40063,1.8,1.07,2.48,10.47,-48.77,-0.25,0.06,-0.01,0.62,-10.37,5
40080,1.36,0.51,10.64,4.43,-52.12,-0.22,0.06,0.01,0.34,-10.47,4
40100,1.54,-1.22,11.22,3.79,-47.73,0.25,0.07,0.01,-0.72,-9.76,4
40118,1.19,-0.5,5.64,7.88,-45.84,0.25,0.06,0,-0.32,-9.46,4
40136,1.89,1.52,4.87,8,-54.43,-0.25,0.05,0,0.92,-10.75,4
40154,2.33,1,8.47,6.2,-52.33,-0.25,0.07,0,0.63,-10.76,4
40172,1.72,-0.87,12.64,2.41,-47.73,0.02,0.1,0.01,-0.49,-9.63,4
40188,1.45,-1.32,7.5,5.75,-47.31,0.25,0.09,0,-0.8,-9.46,4
40207,1.36,0.14,2.88,10.67,-47.1,0.08,0.06,-0.01,0.05,-9.54,4
40225,1.72,1.18,6.15,8.29,-51.5,-0.25,0.06,0,0.72,-10.75,5
40240,1.72,0.24,10.32,4.4,-52.12,-0.19,0.07,0.01,0.17,-10.26,5
40257,1.45,-1.23,9.01,5.69,-48.98,0.25,0.08,0,-0.74,-9.63,4
40273,0.92,-0.47,4.38,8.23,-46.89,0.25,0.06,-0.01,-0.31,-9.41,4
40292,1.8,1.58,3.69,9.19,-51.29,-0.25,0.06,-0.01,0.95,-10.37,5
40311,1.45,0.83,11.16,3.61,-53.17,-0.25,0.08,0.01,0.55,-10.64,4
40327,1.72,-0.72,11.96,2.41,-51.08,-0.03,0.1,0.01,-0.4,-9.84,5
40347,1.36,-1.45,6.76,6.92,-47.1,0.25,0.09,0,-0.9,-9.5,5
