13572; 0.84; -0.36; 7.02; 7.07; 47.73; -0.00; -0.05; -0.18
13584; 1.19; -0.30; 7.45; 6.44; 47.10; -0.01; -0.05; 4.17
13594; 0.57; -0.21; 7.25; 7.02; 46.89; -0.05; -0.05; 0.89
13603; 0.57; -0.28; 7.81; 6.55; 47.31; -0.01; -0.05; 5.02
13614; 0.48; -0.24; 6.88; 7.45; 47.10; -0.02; -0.05; -2.27
13625; 0.40; -0.19; 6.47; 7.34; 47.52; -0.02; -0.06; -3.61
13635; 0.48; -0.17; 6.94; 7.03; 47.31; -0.01; -0.06; -0.34
13647; 0.40; -0.10; 7.59; 6.63; 47.94; -0.07; -0.06; 3.86
13657; 0.40; -0.09; 8.03; 5.93; 48.15; -0.11; -0.05; 8.53
13667; 0.40; -0.40; 9.55; 5.21; 48.77; -0.00; -0.05; 16.38
13677; 0.31; -0.48; 7.25; 7.03; 49.19; 0.02; -0.05; 0.86
13688; 0.22; -0.30; 6.41; 7.29; 49.19; -0.03; -0.05; -3.66
13698; 0.13; -0.34; 7.98; 6.50; 49.19; 0.01; -0.05; 5.87
13708; 0.13; -0.13; 5.84; 7.45; 48.77; -0.07; -0.06; -6.91
13719; 0.13; -0.37; 7.84; 6.64; 49.40; 0.06; -0.06; 4.73
13729; 0.04; -0.15; 6.07; 7.54; 48.15; -0.01; -0.06; -6.16
13738; 0.04; -0.19; 6.16; 7.22; 48.98; 0.03; -0.06; -4.54
13748; -0.04; 0.07; 6.13; 7.32; 48.77; -0.08; -0.06; -5.07
13759; -0.04; -0.13; 7.61; 6.98; 48.77; 0.01; -0.06; 2.48
13769; 0.04; -0.01; 5.82; 7.66; 48.98; -0.04; -0.07; -7.78
13779; 0.04; -0.09; 7.70; 6.10; 49.19; -0.00; -0.06; 6.62
13791; -0.13; 0.01; 7.14; 6.84; 48.57; -0.08; -0.06; 1.23
13800; -0.04; -0.18; 8.57; 5.49; 49.40; -0.03; -0.06; 12.38
13812; -0.04; -0.34; 7.92; 6.73; 50.03; 0.01; -0.05; 4.66
13824; -0.13; -0.19; 6.27; 7.11; 50.03; -0.05; -0.06; -3.63
13833; 0.66; -0.28; 7.72; 5.97; 50.24; -0.00; -0.06; 7.31
13844; -0.31; -0.19; 6.53; 7.02; 50.66; -0.06; -0.06; -2.10
13856; -0.22; -0.35; 6.67; 6.97; 50.24; 0.06; -0.06; -1.28
13866; -0.31; -0.22; 7.00; 7.39; 50.24; 0.02; -0.06; -1.54
13876; -0.40; -0.14; 6.32; 7.72; 50.45; -0.00; -0.06; -5.70
13886; -0.31; -0.08; 6.37; 7.23; 50.03; -0.00; -0.07; -3.62
13898; -0.31; 0.02; 6.95; 6.78; 50.24; -0.06; -0.07; 0.71
13908; -0.31; -0.13; 7.72; 6.41; 50.24; -0.00; -0.06; 5.28
13920; -0.40; -0.08; 6.78; 7.12; 49.82; -0.04; -0.06; -1.41
13931; -0.40; -0.28; 7.52; 6.57; 50.66; 0.05; -0.06; 3.85
13942; -0.40; -0.05; 5.71; 7.73; 50.03; -0.04; -0.06; -8.56
13951; -0.48; -0.01; 7.24; 6.80; 50.45; -0.06; -0.07; 1.81
13962; -0.13; -0.15; 8.47; 6.27; 50.45; -0.02; -0.06; 8.47
13973; -0.66; -0.18; 7.31; 6.17; 51.08; -0.05; -0.06; 4.82
13984; -0.66; -0.37; 7.58; 6.49; 50.87; 0.04; -0.06; 4.43
13993; -0.57; -0.20; 6.91; 7.28; 50.45; -0.02; -0.06; -1.47
14002; -0.57; -0.24; 7.99; 6.33; 51.08; -0.01; -0.06; 6.62
14012; -0.66; -0.22; 6.37; 6.81; 50.03; -0.01; -0.06; -1.91
14021; -0.66; -0.26; 7.02; 6.83; 50.87; 0.02; -0.06; 0.82
14030; -0.75; -0.16; 6.62; 7.08; 50.66; -0.02; -0.06; -1.92
14038; -0.75; -0.22; 6.66; 6.60; 50.45; 0.03; -0.06; 0.28
14049; -0.75; -0.08; 6.96; 7.08; 49.82; -0.03; -0.06; -0.50
14059; -0.92; -0.18; 7.96; 6.01; 50.03; 0.00; -0.06; 7.95
14069; -0.84; -0.14; 6.08; 7.33; 50.24; -0.02; -0.06; -5.34
14079; -1.28; -0.28; 7.64; 6.68; 50.45; 0.05; -0.06; 3.83
14088; -0.84; -0.01; 6.56; 7.34; 49.61; -0.06; -0.06; -3.24
14098; -0.84; -0.14; 7.95; 6.43; 50.24; -0.02; -0.06; 6.04
14107; -0.92; -0.13; 7.43; 7.48; 49.61; -0.03; -0.06; -0.19
14116; -0.92; -0.35; 8.43; 6.24; 49.82; 0.07; -0.06; 8.48
14128; -1.54; -0.04; 6.41; 7.38; 49.61; -0.08; -0.06; -4.01
14138; -0.92; -0.23; 9.81; 4.61; 50.03; -0.03; -0.06; 19.84
14148; -0.75; -0.25; 7.69; 7.06; 50.24; -0.06; -0.05; 2.45
14158; -1.10; -0.53; 8.03; 6.04; 50.66; 0.08; -0.05; 8.06
14169; -0.66; -0.30; 6.91; 7.09; 49.61; -0.01; -0.05; -0.75
14179; -1.45; -0.32; 7.97; 6.61; 49.61; 0.01; -0.06; 5.34
14191; -1.10; -0.27; 5.94; 7.79; 49.61; 0.01; -0.06; -7.70
14200; -1.28; -0.18; 5.71; 7.75; 49.40; 0.02; -0.06; -8.64
14210; -1.36; -0.15; 7.24; 6.96; 49.82; 0.02; -0.07; 1.10
14220; -1.36; 0.04; 6.17; 7.98; 48.57; -0.05; -0.07; -7.31
14232; -1.28; -0.13; 7.35; 7.09; 48.77; 0.04; -0.07; 1.01
14242; -1.45; -0.05; 5.77; 7.07; 48.77; 0.01; -0.07; -5.75
14252; -1.45; -0.02; 6.39; 6.90; 48.57; 0.01; -0.07; -2.21
14262; -1.89; 0.08; 6.20; 7.55; 48.15; -0.03; -0.07; -5.62
14273; -1.45; -0.04; 7.42; 6.51; 47.94; 0.02; -0.07; 3.76
14282; -1.45; -0.00; 6.21; 7.56; 48.15; -0.01; -0.07; -5.61
14294; -1.45; 0.02; 7.08; 6.92; 47.73; -0.01; -0.07; 0.65
14304; -1.45; -0.09; 7.06; 7.41; 47.73; 0.04; -0.07; -1.39
14314; -1.36; -0.00; 5.85; 7.60; 48.15; -0.00; -0.07; -7.43
14325; -1.45; -0.04; 7.59; 6.49; 48.15; 0.01; -0.07; 4.49
14335; -1.45; 0.00; 6.69; 7.08; 47.73; -0.02; -0.07; -1.61
14344; -1.54; -0.11; 7.24; 6.99; 48.15; 0.02; -0.07; 1.00
14354; -1.36; 0.04; 5.98; 7.44; 47.10; -0.03; -0.07; -6.24
14364; -0.75; -0.09; 8.40; 6.47; 46.89; 0.02; -0.06; 7.38
14375; -1.10; -0.01; 6.06; 7.55; 47.10; -0.03; -0.06; -6.24
14384; -1.45; -0.20; 6.79; 7.19; 46.89; 0.08; -0.07; -1.60
14394; -1.54; -0.01; 6.44; 8.24; 46.47; 0.02; -0.07; -6.97
14405; -1.28; 0.12; 6.74; 7.23; 46.05; -0.04; -0.07; -2.01
14415; -1.54; 0.06; 7.91; 6.37; 46.68; -0.05; -0.06; 6.18
14426; -1.63; -0.12; 8.15; 6.42; 46.47; -0.00; -0.06; 6.78
14439; -1.63; -0.27; 6.14; 8.22; 46.68; 0.09; -0.06; -8.25
14449; -1.63; 0.02; 6.11; 7.69; 46.68; -0.02; -0.07; -6.50
14458; -1.89; -0.09; 7.24; 6.68; 46.47; 0.04; -0.07; 2.30
14469; -1.63; 0.12; 5.35; 8.50; 45.84; -0.05; -0.07; -12.78
14480; -1.72; -0.09; 7.95; 6.76; 46.05; 0.06; -0.07; 4.62
14489; -1.72; 0.10; 5.42; 8.53; 45.01; -0.01; -0.07; -12.56
14500; -1.72; 0.01; 6.95; 7.35; 45.22; 0.05; -0.07; -1.57
14511; -1.63; 0.19; 7.85; 7.15; 44.80; -0.06; -0.07; 2.68
14520; -1.98; -0.04; 8.09; 5.81; 45.63; -0.01; -0.06; 9.30
14532; -1.63; -0.19; 7.69; 6.05; 45.84; 0.02; -0.06; 6.84
14543; -2.51; -0.12; 7.10; 6.97; 45.01; -0.02; -0.06; 0.54
14553; -1.72; -0.25; 7.31; 6.75; 45.43; 0.04; -0.06; 2.29
14562; -1.80; -0.09; 6.10; 8.03; 44.38; -0.01; -0.06; -7.77
14574; -1.80; -0.16; 7.25; 6.70; 44.59; 0.05; -0.06; 2.27
14583; -1.80; -0.03; 5.33; 8.38; 43.75; 0.01; -0.06; -12.52
14593; -1.36; 0.00; 6.50; 7.59; 43.54; 0.03; -0.07; -4.45
14605; -1.80; 0.15; 6.82; 7.08; 43.75; -0.05; -0.06; -1.09
14614; -1.89; -0.06; 8.65; 6.10; 44.17; 0.01; -0.06; 9.81
14624; -1.89; -0.04; 6.39; 7.72; 43.33; -0.01; -0.06; -5.40
14636; -1.98; -0.14; 6.79; 6.97; 43.12; 0.06; -0.06; -0.74
14648; -1.89; -0.01; 6.99; 7.14; 42.91; -0.00; -0.06; -0.63
14657; -1.98; 0.07; 7.01; 6.62; 42.91; -0.06; -0.06; 1.61
14669; -1.98; -0.30; 8.27; 6.22; 45.01; 0.07; -0.06; 8.05
14680; -2.07; -0.06; 6.50; 7.28; 42.49; -0.02; -0.06; -3.26
14690; -1.80; -0.18; 7.95; 6.51; 43.12; 0.03; -0.06; 5.68
14700; -2.16; -0.02; 6.00; 7.65; 44.17; -0.06; -0.06; -6.89
14709; -2.07; -0.24; 7.84; 6.49; 42.08; 0.08; -0.06; 5.38
14719; -2.07; 0.01; 5.36; 8.73; 41.87; -0.01; -0.06; -13.49
14729; -2.07; -0.10; 6.74; 7.15; 42.49; 0.06; -0.06; -1.70
14740; -2.16; 0.10; 6.73; 7.07; 41.24; -0.03; -0.06; -1.41
14751; -2.07; 0.04; 7.32; 6.47; 41.45; -0.02; -0.06; 3.51
14762; -1.98; -0.12; 7.71; 6.43; 41.24; 0.03; -0.06; 5.16
14773; -2.24; 0.02; 6.60; 7.40; 41.03; -0.05; -0.05; -3.27
14783; -2.24; -0.18; 7.83; 6.58; 41.45; 0.04; -0.05; 4.96
14793; -2.07; -0.11; 6.91; 8.08; 41.03; 0.02; -0.05; -4.48
14802; -2.16; -0.19; 6.4; 6.86; 40.61; 0.09; -0.06; -1.85
14853; -1.63; 1.28; 6.24; 7.58; 36.84; -0.25; -0.03; -5.54
14862; -1.72; 0.62; 10.19; 4.43; 39.35; -0.25; -0.02; 21.50
14872; -2.24; -0.28; 10.71; 4.08; 38.31; -0.25; -0.01; 24.16
14883; -1.63; -1.71; 10.77; 3.74; 41.87; 0.25; -0.00; 25.84
14893; -2.60; -1.34; 2.90; 10.23; 42.91; 0.25; -0.02; -29.19
14904; -2.16; -0.43; 4.17; 9.10; 40.82; 0.08; -0.04; -20.37
14916; -2.24; 0.08; 4.97; 8.97; 38.73; -0.04; -0.06; -16.03
14926; -2.42; 0.17; 6.33; 6.39; 37.47; -0.05; -0.06; -0.26
14935; -2.24; -0.08; 7.43; 6.33; 37.89; 0.05; -0.05; 4.57
14947; -2.86; 0.07; 6.82; 7.56; 37.26; -0.03; -0.05; -2.93
14957; -2.24; -0.14; 7.91; 6.76; 37.47; 0.06; -0.05; 4.48
14966; -2.24; 0.06; 7.45; 6.99; 36.84; -0.05; -0.05; 1.82
14977; -2.33; -0.25; 7.84; 6.31; 38.10; 0.07; -0.05; 6.16
14989; -2.16; -0.09; 5.71; 7.82; 36.63; 0.02; -0.05; -8.84
15001; -2.33; -0.01; 6.80; 7.52; 36.63; 0.01; -0.05; -2.89
15012; -2.33; -0.01; 6.37; 7.63; 36.21; 0.03; -0.05; -5.16
15022; -2.33; 0.13; 5.55; 7.92; 36.01; -0.01; -0.06; -9.97
15031; -2.42; 0.00; 7.43; 6.72; 35.59; 0.06; -0.06; 2.88
15042; -2.33; 0.24; 6.05; 7.47; 34.75; -0.07; -0.05; -6.00
15053; -2.24; 0.00; 7.45; 7.03; 36.01; 0.03; -0.05; 1.67
15063; -2.51; 0.03; 5.51; 8.10; 34.75; 0.04; -0.06; -10.74
15072; -2.42; -0.01; 6.19; 7.61; 34.75; 0.09; -0.06; -5.86
15084; -2.33; 0.36; 5.86; 8.07; 33.70; -0.07; -0.06; -9.01
15095; -2.24; 0.10; 8.43; 6.03; 34.33; 0.01; -0.06; 9.44
15104; -2.24; 0.04; 6.76; 7.26; 33.70; 0.02; -0.05; -2.05
15115; -2.24; 0.06; 6.99; 6.95; 33.49; 0.01; -0.05; 0.20
15126; -2.33; 0.02; 6.71; 7.36; 33.07; 0.02; -0.05; -2.62
15136; -2.07; 0.09; 6.38; 8.00; 33.07; -0.00; -0.05; -6.43
15146; -2.51; -0.06; 6.69; 6.76; 33.07; 0.08; -0.05; -0.31
15155; -2.24; 0.17; 5.09; 8.93; 32.66; -0.00; -0.05; -15.32
15165; -2.33; 0.07; 7.05; 7.27; 31.82; 0.08; -0.06; -0.87
15175; -2.51; 0.33; 5.39; 8.08; 31.82; -0.05; -0.06; -11.30
15185; -1.98; 0.06; 7.86; 6.52; 31.40; 0.08; -0.06; 5.30
15194; -2.24; 0.26; 5.60; 8.06; 30.77; -0.03; -0.05; -10.20
15204; -2.07; 0.06; 6.99; 7.02; 31.40; 0.06; -0.05; -0.13
