31152,-0.22,0.04,6.92,6.99,5.44
31161,-0.84,0.07,7.01,7.02,5.44
31169,-0.22,0.05,7.29,6.72,5.65
31179,-0.22,0.03,7.3,6.75,5.23
31188,-0.22,0,7.07,6.95,5.44
31197,-0.31,0,6.8,7.05,5.23
31208,-0.31,0.04,6.72,7.13,5.23
31217,-0.22,0.1,7,7,5.23
31225,-0.22,0.07,7.57,6.52,5.02
31234,0.31,0,7.36,6.74,5.23
31242,-0.31,-0.04,7.23,6.84,4.81
31251,-1.01,0.05,6.75,7.14,5.02
31259,-0.4,0.03,7.41,6.7,5.02
31268,-0.31,0.01,7.16,6.84,5.23
31277,-0.66,-0.02,6.81,7.01,4.61
31286,-0.4,0.02,6.82,7.14,4.81
31296,-0.57,0.09,7.05,6.95,4.4
31306,-0.31,0.03,7.48,6.64,4.61
31314,-0.31,0.04,7.08,6.88,4.19
31323,-0.31,0.05,6.89,6.93,3.98
31332,-0.31,0,7.29,6.78,4.19
31341,-0.31,0.05,6.82,7.09,4.4
31349,-0.57,0.04,7.03,6.93,3.98
31358,-0.92,0.04,6.86,7.06,3.35
31368,-0.31,0.08,6.77,7.17,3.77
31377,-0.31,0.06,7.27,6.79,4.19
31386,-0.31,0.04,7.23,6.79,3.98
31395,-0.22,0.03,6.92,7.04,3.56
31404,-0.31,0.04,7.09,6.97,3.56
31414,-0.31,0.07,7,6.97,3.35
31423,-0.31,0.05,7.13,6.93,3.35
31432,-0.31,0.03,7.07,6.91,3.14
31440,-0.31,0.04,6.9,7.04,3.56
31450,-0.31,0.06,6.96,6.98,3.14
31458,-0.31,0.07,7.04,6.93,3.98
31467,-0.4,0.02,7.37,6.7,3.35
31477,-0.31,0.02,6.71,7.1,2.93
31487,-0.22,0.13,6.55,7.3,2.72
31496,-0.31,0.09,7.27,6.82,3.14
31505,-0.4,0.04,6.97,6.92,2.72
31514,-0.31,0.05,6.58,7.24,3.35
31524,0.48,0.08,6.98,6.96,2.51
31532,-0.22,0.1,7.07,6.9,2.09
31541,-0.31,0.07,7.13,6.91,2.93
31549,-0.22,0.05,7.07,6.98,2.3
31558,-0.22,0.05,6.8,7.11,2.51
31567,-0.22,0.08,6.83,7.13,2.09
31577,-0.22,0.1,6.92,6.99,1.67
31586,0.57,0.13,6.92,6.96,1.67
31595,-0.57,0.1,7.23,6.76,2.09
31603,-0.22,0.05,7.3,6.7,1.88
31613,-0.22,0.04,6.96,7.02,1.47
31623,-0.22,0.05,6.85,7.05,2.09
31632,-0.22,0.07,7.09,6.84,1.67
31641,-0.22,0.05,7.14,6.88,1.67
31650,-0.22,0.07,6.95,6.99,1.47
31660,-0.31,0.02,7.2,6.82,1.47
31669,-0.04,0.06,6.84,7.06,1.47
31678,-0.22,0.05,7.1,6.86,0.84
31688,-0.22,0.09,6.74,7.19,1.47
31697,-0.22,0.05,7.11,6.9,1.26
31705,-0.22,0.05,6.87,7.11,1.47
31714,-0.22,0.09,6.74,7.16,1.26
31723,-0.31,0.08,7.1,6.96,1.26
31732,-0.13,0.08,7.05,6.89,0.84
31740,-0.22,0.07,6.99,7.01,0.42
31749,-0.57,0.11,6.76,7.14,0.84
31758,-0.13,0.08,7.35,6.66,1.26
31766,-0.22,0.04,7.23,6.77,0.84
31775,-0.22,0.06,6.87,7.08,0.63
31784,-0.22,0.05,7.15,6.82,1.05
31794,-0.31,0.09,6.98,7,0.63
31802,-0.13,0.03,7.24,6.78,0.84
31811,-0.13,0.05,6.94,7,0.42
31820,-0.13,0.07,6.99,6.97,0.42
31830,-0.57,0.05,7.26,6.7,0.63
31839,-0.13,0.02,7.27,6.77,0.63
31848,-0.22,0.02,6.98,6.95,0.42
31858,-0.22,0.06,6.88,7.09,0.42
31866,-0.57,0.03,7.22,6.8,0.42
31875,-0.22,0.02,7.12,6.76,0.21
31883,-0.75,0.03,6.61,7.25,0.42
31893,-0.22,0.05,6.94,7.05,-0.21
31903,-0.31,0.14,6.42,7.4,-0.21
31911,-0.22,0.12,7.09,6.89,0.21
31921,-0.22,0.1,7.05,7.04,-0.42
31931,-0.22,0.05,7.19,6.83,0.21
31940,-0.22,0.07,6.76,7.2,-0.42
31949,-0.13,0.09,6.75,7.16,-0.21
31958,-0.13,0.12,6.9,7.01,0
31967,-0.04,0.11,7.22,6.77,-0.42
31975,-0.22,0.07,7.31,6.71,-1.67
31983,-0.13,0.09,6.77,7.13,-1.67
31993,-0.13,0.12,7.04,6.91,-1.67
32003,-0.04,0.11,7.23,6.82,-1.88
32011,0.04,0.06,7.12,6.9,-1.88
32020,-0.13,0.08,6.75,7.13,-2.09
32029,-0.13,0.09,7,6.88,-2.09
32038,-0.13,0.09,7,6.98,-1.88
32047,-0.04,0.05,7.16,6.79,-1.88
32057,-0.13,0.05,6.85,7.07,-2.51
32065,-0.13,0.11,6.79,7.08,-2.51
32075,0.13,0.14,7.15,6.8,-2.51
32083,-0.04,0.07,7.62,6.61,-2.51
32092,-0.04,0.05,6.74,7.13,-2.51
32102,-0.13,0.02,7.22,6.86,-2.72
32111,-0.04,0.11,6.68,7.27,-2.72
32121,-0.04,0.1,7.72,6.43,-2.93
32130,-0.04,0.03,6.97,6.99,-2.51
32140,-0.22,0.02,7.11,6.9,-3.14
32149,-0.22,0.03,6.61,7.32,-3.56
32158,-0.04,0.14,6.8,7.14,-3.35
32168,-0.04,0.11,7.49,6.54,-2.72
32177,-0.22,0.04,7.13,6.84,-3.98
32187,-0.13,0.04,6.66,7.15,-2.93
32196,-0.22,0.06,6.89,6.98,-3.77
32206,-0.13,0.12,6.64,7.27,-3.14
32215,-0.13,0.11,7.44,6.57,-3.77
32223,-0.13,0.05,7.6,6.52,-3.98
32232,-0.04,0.06,6.9,7.07,-3.98
32241,-0.13,0.07,6.97,6.94,-5.23
32251,-0.04,0.13,6.97,7.03,-4.81
32259,-0.04,0.08,7.05,6.85,-3.98
32267,-0.04,0.07,7.1,6.81,-3.98
32276,-0.04,0,7.13,6.8,-4.4
32286,-0.04,0.08,6.32,7.47,-4.19
32295,-0.66,0.14,7.22,6.73,-4.4
32305,-0.04,0.06,7.05,6.79,-5.02
32314,-0.04,0.1,6.91,7.04,-4.61
32323,-0.57,0.06,7.55,6.56,-4.81
32332,-0.04,0.08,7.06,7.09,-4.81
32341,-0.04,0.06,7.36,6.79,-4.61
32351,-0.04,-0.02,7.44,6.64,-5.23
32361,0.04,0.07,6.26,7.52,-5.23
