17422,-0.13,0.11,6.96,6.95,4.4,-0.03
17430,-0.22,0.05,7.64,6.47,4.4,-0.01
17439,-0.13,0.01,7.08,6.94,4.4,0
17448,-0.22,0,6.94,6.94,4.61,0.01
17457,-0.22,0.01,7.13,6.96,3.98,0.02
17465,-0.22,0.08,6.69,7.21,4.19,-0.02
17474,-0.22,0.06,7.32,6.73,4.19,-0.01
17483,-0.31,0.04,7.12,6.88,4.19,0
17492,-0.31,0,7.02,6.89,3.98,0.02
17501,-0.22,0.03,6.75,7.19,3.98,0.01
17511,-0.04,0.1,6.92,7.03,4.61,-0.03
17521,-0.57,-0.02,7.64,6.45,2.72,0.05
17530,-0.31,0.08,6.16,7.65,3.35,-0.01
17538,-0.04,0.09,7.14,6.84,3.56,-0.01
17547,-0.22,0.09,7.21,6.91,3.56,-0.02
17557,-0.22,0.03,7.17,6.91,3.77,0
17568,-0.22,0,6.94,7.03,2.72,0.04
17577,-0.22,0.12,6.31,7.53,3.14,-0.02
17587,-0.22,0.12,7.42,6.62,2.72,-0.02
17596,-0.22,0.05,7.34,6.75,3.14,0
17605,-0.04,0.05,7.06,6.93,3.14,-0.01
17613,-0.22,0.01,7.19,6.92,2.72,0.02
17624,-0.22,0.11,6.58,7.3,2.72,-0.03
17633,-0.22,0.04,7.68,6.45,2.3,0.01
17641,-0.04,0.05,7.08,6.93,2.51,-0.01
17650,-0.22,0,7.12,6.75,2.72,0.01
17660,0.48,0.03,6.91,7.07,2.72,0
17668,-0.22,0.04,6.95,6.94,2.51,0
17677,-0.13,0.03,6.98,7.02,2.72,0
17687,-0.22,0.07,6.83,7.06,2.3,0
17697,-0.13,0.06,7.06,6.85,2.72,-0.01
17706,-0.22,0.04,7.15,6.85,2.72,0
17716,-0.13,0.04,6.9,7.03,2.3,0.01
17724,-0.04,0.04,6.82,7.1,1.47,0.03
17734,-0.31,0.15,6.51,7.29,2.09,-0.03
17742,-0.57,0.09,7.47,6.53,2.09,-0.01
17752,-0.22,0.05,6.9,6.99,2.09,0
17762,-0.22,0.04,7.09,6.83,2.09,0.01
17771,-0.13,0.04,6.8,7.07,2.3,0.01
17779,-0.22,0.08,6.77,7.14,2.09,-0.01
17789,-0.31,0.06,7.26,6.76,1.67,0.01
17799,-0.13,0.09,6.85,7.07,1.88,-0.02
17808,-0.22,0.09,7.23,6.81,1.67,-0.02
17816,-0.13,0.02,7.35,6.69,1.67,0.01
17825,-0.22,0.05,6.93,7.08,1.88,-0.01
17835,-0.31,0.02,7.46,6.65,1.67,0
17844,-0.13,0.04,6.88,7.07,1.05,0
17854,-0.13,0.05,7.04,6.98,1.67,-0.01
17864,-0.22,0.01,7.28,6.75,1.67,0.01
17873,-0.22,0.03,6.84,7.12,1.47,0
17883,-0.22,0.06,6.92,7.05,1.47,-0.01
17893,-0.13,0.04,7.41,6.68,1.26,0
17902,-0.31,0.07,6.73,7.13,1.26,-0.02
17911,-0.22,0.04,6.9,7.03,1.47,0
17921,-0.13,0.05,6.74,7.17,1.47,0
17929,-0.22,0.07,6.86,7.07,1.26,0
17939,0.48,0.1,6.67,7.15,1.26,-0.01
17948,-0.13,0.11,6.95,7.04,1.05,-0.01
17958,-0.4,0.09,6.99,6.99,1.26,0
17967,-0.13,0.08,7.1,6.93,1.05,0
17976,-0.13,0.06,7.05,6.87,1.05,0.01
17985,-0.13,0.05,6.84,7.03,1.05,0.01
17994,-0.13,0.1,6.85,7.08,1.26,-0.01
18003,-0.84,0.08,7.14,6.81,1.05,0
18012,-0.13,0.06,7.27,6.78,0.84,0
18022,-0.04,0.09,6.94,6.99,0.63,-0.01
18032,-0.13,0.04,7.36,6.81,0.84,0
18042,-0.13,0.02,7.01,6.95,1.05,0.01
18050,-0.31,0.04,7.09,6.93,0.21,0.01
18060,-0.13,0.1,6.9,7.06,0,-0.02
18070,-0.13,0.05,7.31,6.77,0.42,-0.01
18079,-0.04,0.04,7.23,6.83,-0.42,0.01
18087,-0.22,0.03,6.94,7.02,0.21,0
18096,-0.04,0.07,6.87,7.12,0.21,-0.01
18105,-0.22,0.06,7.31,6.77,0.63,-0.02
18114,-0.13,0,7.15,6.84,1.05,0
18123,-0.22,0,6.92,6.98,0.42,0.02
18132,-0.22,0.06,6.67,7.24,0.63,-0.01
18141,-0.22,0.08,6.98,7.01,0.42,-0.01
18149,-0.13,0.05,7.37,6.74,0.42,0.01
18159,-0.84,0.03,6.74,7.03,0.42,0.01
18169,-0.13,0.07,6.99,7.08,0,0
18178,-0.13,0.08,7.22,6.77,0.42,-0.01
18187,-0.13,0.05,7.43,6.62,0,0
18195,-0.13,0.01,7.25,6.8,0.21,0.01
18205,-0.13,0.02,6.8,7.1,0,0.01
18214,-0.13,0.05,6.99,6.97,0,0
18223,-0.13,0.05,7.13,6.83,0,0
18232,-0.13,0.03,7.06,6.85,0.21,0
18241,-0.31,0.04,6.98,6.99,0,0
18250,-0.31,0.07,6.97,6.92,0.63,-0.02
18260,-0.13,0.02,7.57,6.57,0,0.01
18270,-0.13,0.04,6.87,7.07,0.21,-0.01
18279,-0.13,0.02,7.27,6.72,0.21,0
18288,-0.22,0.02,6.73,7.1,-0.21,0.01
18298,-0.31,0.03,6.9,6.9,-0.21,0.01
18307,-0.22,0.07,6.7,7.15,-0.42,0
18317,0.04,0.11,7.11,6.9,-0.63,-0.01
18325,-0.22,0.07,7.28,6.82,-0.42,-0.01
18336,-0.04,0.02,7.07,6.88,-0.21,0.01
18346,-0.22,0.03,6.7,7.18,-1.26,0.03
18355,-0.13,0.08,6.82,7.08,-0.63,0
18365,0.66,0.12,7.24,6.76,-0.84,-0.02
18375,-0.13,0.08,7.59,6.52,-1.26,-0.02
18385,-0.22,0.01,7.12,6.94,-1.05,0
18394,-0.22,0,6.76,7.13,-0.84,0.02
18405,-0.13,0.02,6.95,7.03,-1.26,0.02
18414,-0.13,0.12,6.69,7.22,-1.05,-0.02
18423,-0.22,0.1,7.4,6.61,-1.26,-0.01
18431,-0.22,0.04,7.39,6.7,-1.05,0
18442,-0.4,-0.01,7.23,6.79,-1.26,0.02
18451,-0.22,0.01,6.7,7.26,-1.05,0.01
18460,-0.13,0.07,6.77,7.19,-1.67,0.01
18469,-0.13,0.09,7.1,6.87,-1.26,-0.01
18478,-0.13,0.09,7.08,6.87,-1.67,-0.01
18487,-0.22,0.04,7.3,6.76,-1.88,0.01
18497,-0.13,0.05,6.82,7.1,-1.47,0.01
18507,-0.22,0.05,6.83,7,-1.47,0.01
18516,-0.04,0.07,6.98,6.99,-1.88,0.01
18525,-0.13,0.11,6.96,6.99,-1.88,-0.01
18535,-0.04,0.07,7.39,6.7,-2.09,0
18543,-0.13,0.07,7.01,6.93,-2.09,0
18552,-0.13,0.04,7.04,6.84,-2.3,0.01
18560,-0.13,0.07,6.77,7.03,-1.88,-0.01
18570,-0.13,0.07,7.13,6.82,-2.09,0
18580,-0.22,0.04,7.14,6.82,-2.51,0.01
18590,-0.13,0.08,6.64,7.19,-2.09,-0.01
18598,-0.13,0.05,7.11,6.82,-3.14,0.02
18608,-0.13,0.12,6.77,7.08,-2.3,-0.02
18617,-0.13,0.08,7.41,6.7,-2.09,-0.01
18626,-0.13,0.01,7.44,6.67,-2.93,0.03
18635,-0.04,0.08,6.67,7.14,-2.72,-0.01
